study,condition,qualification
study interventions are lenalidomide, cancer cachexia syndrome diagnosis and life expectancy physical performance,0
study interventions are fulvestrant, histologically confirmed adenocarcinoma of the prostate,0
study interventions are dextromethorphan, unspecified adult solid tumor protocol specific diagnosis and negative pregnancy test,0
study interventions are etoposide, supra_tentorial primative_neuro ectodermal tumor pnet diagnosis and ejection fraction greater_than forty-five or no clinical evidence of heart failure,0
study interventions are liposomal doxorubicin, histologically confirmed previously untreated ovarian epithelial carcinoma peritoneal carcinoma or fallopian tube carcinoma,0
study interventions are gemcitabine, tumors diagnosis and any prior toxicity from prior chemotherapeutic treatment recovered to less_than grade one,0
study interventions are albumin-bound paclitaxel, small intestine cancer diagnosis and age,0
study interventions are anastrozole, stage iiic breast cancer diagnosis and sixty years of age and amenorrheic for greater_than equal_than twelve months prior to day one if uterus ovaries are intact or,0
study interventions are fludarabine, non hodgkins lymphoma diagnosis and complete first remission crone at high risk for relapse such as,0
study interventions are sirolimus, recurrent adult brain neoplasm diagnosis and oxygen otwo saturation greater_than equal_than ninety on room air,0
study interventions are cyclosporine, stage iii adult lymphoblastic lymphoma diagnosis and philadelphia_chromosome positive ph positive metaphases greater_than zero but less_than thirty-five,0
study interventions are docetaxel, non small cell lung cancer diagnosis and performance status who zero two,0
study interventions are carboplatin, advanced non small cell lung cancer diagnosis and signed protocol specific informed consent,0
study interventions are leucovorin, stage iv esophageal cancer diagnosis and fasting serum cholesterol equal_than less_than three hundred mg dl or equal_than less_than doc five mmol l,0
study interventions are mycophenolate mofetil, recurrent adult grade iii lymphomatoid granulomatosis diagnosis and related or unrelated donors who are matched for hla drbone and dqbone alleles must be defined by high resolution typing and who are mismatched for,0
study interventions are paclitaxel, head and neck squamous cell carcinoma diagnosis and patients with stage tx primary disease are eligible if there is ntwob three lymphadenopathy,0
study interventions are doxorubicin, classical hodgkin lymphoma diagnosis and male doc mg dl female doc mg dl,0
study interventions are etoposide, stage iv renal wilms tumor diagnosis and clear cell,0
study interventions are etoposide phosphate, small cell lung cancer diagnosis and ast sgot and alt sgpt less_than doc upper limit of normal uln,0
study interventions are busulfan, unspecified adult solid tumor protocol specific diagnosis and adequate hepatic function as demonstrated by bilirubin less_than two mg dl sgot and sgpt less_than five upper limits of normal,0
study interventions are busulfan, supra_tentorial primative_neuro ectodermal tumor pnet diagnosis and pulmonary,0
study interventions are methotrexate, myelodysplastic myeloproliferative neoplasms diagnosis and creatinine normal,0
study interventions are paclitaxel, ovarian cancer diagnosis and meets the following criteria,0
study interventions are fludarabine phosphate, extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and myelodysplastic syndrome mds myeloproliferative disorder mpd,0
study interventions are everolimus, thyroid cancer diagnosis and patients must have surgically inoperable and or recurrent metastatic disease,0
study interventions are cisplatin, carcinoma squamous cell diagnosis and serum creatinine less_than doc mg dl total bilirubin less_than two the institutional uln ast or alt less_than three the institutional uln,0
study interventions are mannitol, glioblastoma diagnosis and no chemotherapy for two weeks prior to treatment under this research protocol and no external beam radiation for eight weeks prior to treatment under this research protocol,0
study interventions are alvespimycin hydrochloride, recurrent basal cell carcinoma of the lip diagnosis and matricaria_chamomilla chamomile,0
study interventions are sorafenib, advanced hepatocellular carcinoma diagnosis and serum creatinine less_than doc upper limit of normal uln or creatinine clearance greater_than forty ml min,0
study interventions are albumin-bound paclitaxel, human papilloma virus infection diagnosis and albumin greater_than doc gm dl,0
study interventions are dexamethasone, stage iiic ovarian cancer diagnosis and partial thromboplastin time ptt less_than doc times the upper limit of normal heparin lovenox or alternative anticoagulants are acceptable,0
study interventions are cetuximab, stage iv mucoepidermoid carcinoma of the oral cavity diagnosis and no significant traumatic injury within the past twenty-eight days part two only,0
study interventions are ultrasound exam with doppler, tumor of the orbit diagnosis and with an orbital mass for which biopsy and or surgical removal is planned,0
study interventions are vitamin b complex, cancer diagnosis and patients may not receive prophylactic transfusion in order to qualify for trial eligibility,0
study interventions are rituximab, non hodgkin lymphoma nhl diagnosis and crtwo or crthree following response to prior therapy or relapse including relapse following autologous hsct,0
study interventions are alvocidib, recurrent childhood medulloblastoma diagnosis and fertile patients must use effective contraception,0
study interventions are surgery: classic strategy, head and neck tumors diagnosis and social insured,0
study interventions are photon beam therapy, chordoma diagnosis and signed informed consent,0
study interventions are paclitaxel, recurrent non small cell lung carcinoma diagnosis and arm cohort one,0
study interventions are liposomal doxorubicin, breast cancer diagnosis and creatinine normal,0
study interventions are cyclophosphamide, multiple myeloma and malignant plasma cell neoplasms diagnosis and acute myelogenous leukemia,0
study interventions are temozolomide, anaplastic astrocytoma diagnosis and pre enrollment coagulation parameters pt and ptt must be less_than doc the iunl,0
study interventions are pemetrexed, lung cancer diagnosis and calculated creatinine clearance greater_than forty-five ml min,0
study interventions are dexamethasone 21-phosphate, recurrent ovarian carcinoma diagnosis and performance status eastern cooperative oncology group ecog zero two,0
study interventions are etoposide, childhood germ cell tumor diagnosis and not pregnant or nursing,0
study interventions are belinostat, stage iii adult immunoblastic large cell lymphoma diagnosis and at least two weeks since prior palliative radiotherapy to sites involving less_than thirty-five of bone marrow reserve,0
study interventions are polymorphism analysis, kidney cancer diagnosis and not specified,0
study interventions are rituximab, lymphoma diagnosis and anc greater_than one five hundred Î¼l unless decreased counts are due to marrow involvement with nhl,0
